Numero;Date;Rain;Tmin;Tmax
97413524;2011-01-01;0.2;18.2;27.2
97413524;2011-01-02;0;18;28
97413524;2011-01-03;0;19;27.8
97413524;2011-01-04;0.4;19.4;27.3
97413524;2011-01-05;20;18.6;28.5
97413524;2011-01-06;18;17.5;27.6
97413524;2011-01-07;6.4;16.8;27.4
97413524;2011-01-08;1;17.3;27.4
97413524;2011-01-09;0;17.9;28.6
97413524;2011-01-10;0;18.2;27.1
97413524;2011-01-11;0;19.2;27.2
97413524;2011-01-12;1.4;18.9;26.7
97413524;2011-01-13;0;19.2;27.1
97413524;2011-01-14;0;18.8;29.3
97413524;2011-01-15;0;20;30.3
97413524;2011-01-16;0.2;19.2;26.9
97413524;2011-01-17;1.2;18.9;29
97413524;2011-01-18;16.2;18.3;26.6
97413524;2011-01-19;0;18.6;27.5
97413524;2011-01-20;0;18.4;28.4
97413524;2011-01-21;1.8;18.9;26.8
97413524;2011-01-22;1.6;19.1;27.2
97413524;2011-01-23;0;18.4;26.5
97413524;2011-01-24;2.4;19.1;26.4
97413524;2011-01-25;0;18.7;25.9
97413524;2011-01-26;0;18.9;28.2
97413524;2011-01-27;42.8;20;29.4
97413524;2011-01-28;61.4;21.4;27
97413524;2011-01-29;73.4;21.3;25.4
97413524;2011-01-30;102.2;21.7;28
97413524;2011-01-31;0;21.6;30.6
97413524;2011-02-01;0.2;20.3;26.6
97413524;2011-02-02;17.8;20.7;28
97413524;2011-02-03;1.2;20.7;26.9
97413524;2011-02-04;13.6;20.2;26.5
97413524;2011-02-05;0.8;19.8;27.8
97413524;2011-02-06;5.6;20.1;26.5
97413524;2011-02-07;0.6;19.5;27.7
97413524;2011-02-08;0.4;19.4;25.9
97413524;2011-02-09;0;19;28.1
97413524;2011-02-10;0;20;29.5
97413524;2011-02-11;5.8;20.5;28.6
97413524;2011-02-12;28.2;20.5;28.8
97413524;2011-02-13;0;20.7;28.4
97413524;2011-02-14;8.6;20.8;26.9
97413524;2011-02-15;0;19.7;28.4
97413524;2011-02-16;0;19.4;28.5
97413524;2011-02-17;0;19.9;30
97413524;2011-02-18;0.2;20.8;30.8
97413524;2011-02-19;0.2;22.1;31
97413524;2011-02-20;0;22.5;31.1
97413524;2011-02-21;0.2;21.7;28.1
97413524;2011-02-22;0;19.7;30.5
97413524;2011-02-23;0.2;20.7;28.4
97413524;2011-02-24;9;20.5;28.2
97413524;2011-02-25;2;19.7;27.7
97413524;2011-02-26;0;20;28.6
97413524;2011-02-27;0;21;29.3
97413524;2011-02-28;0.2;20.6;27.8
97413524;2011-03-01;0;19.7;28.3
97413524;2011-03-02;0;19.4;28
97413524;2011-03-03;1;19.9;28.8
97413524;2011-03-04;0.8;20.5;28.2
97413524;2011-03-05;11.2;19.5;27.5
97413524;2011-03-06;0;19;27.5
97413524;2011-03-07;0.8;18.8;27.6
97413524;2011-03-08;34.6;19.3;27
97413524;2011-03-09;0.2;18.6;27.8
97413524;2011-03-10;4;20.1;27.7
97413524;2011-03-11;1.6;19.8;24.7
97413524;2011-03-12;1.6;19.1;25.4
97413524;2011-03-13;0;19;27.5
97413524;2011-03-14;22;19.6;25.8
97413524;2011-03-15;0;19.2;27.7
97413524;2011-03-16;0;19.5;26.9
97413524;2011-03-17;2.4;18.9;28.2
97413524;2011-03-18;0;18.4;26.1
97413524;2011-03-19;0.8;18.8;27.9
97413524;2011-03-20;0;18.8;28.7
97413524;2011-03-21;9.4;19.8;27.7
97413524;2011-03-22;0.2;19.3;24.6
97413524;2011-03-23;0;19;26.7
97413524;2011-03-24;0;18.8;28.3
97413524;2011-03-25;0;18.2;27.1
97413524;2011-03-26;27.2;18.5;28.4
97413524;2011-03-27;36;19.9;25.5
97413524;2011-03-28;21;19.3;27.3
97413524;2011-03-29;7.2;20.4;26.7
97413524;2011-03-30;2.2;19.3;26.4
97413524;2011-03-31;8.6;19.5;26.3
97413524;2011-04-01;0.6;19.1;25.1
97413524;2011-04-02;0;18.2;26.6
97413524;2011-04-03;0;17.9;26.3
97413524;2011-04-04;0.4;19;26.3
97413524;2011-04-05;0.2;18.8;26.3
97413524;2011-04-06;0;18.7;26
97413524;2011-04-07;0.2;18.9;27.7
97413524;2011-04-08;1.4;20.3;26.5
97413524;2011-04-09;2.4;19.8;26.7
97413524;2011-04-10;0;18.2;25.7
97413524;2011-04-11;0;18.6;28.7
97413524;2011-04-12;0;19.4;27.9
97413524;2011-04-13;0;18.4;27.2
97413524;2011-04-14;0;18.4;25.9
97413524;2011-04-15;1;19.4;23.2
97413524;2011-04-16;58.4;19.4;26.4
97413524;2011-04-17;0.8;19.4;28.1
97413524;2011-04-18;5.8;19.2;25.7
97413524;2011-04-19;0;18.5;26.2
97413524;2011-04-20;0.2;17.2;24.9
97413524;2011-04-21;0;17.6;25.5
97413524;2011-04-22;3.8;17.9;24.2
97413524;2011-04-23;12;17.4;24.7
97413524;2011-04-24;0.2;17.7;25
97413524;2011-04-25;0.8;18.5;24.8
97413524;2011-04-26;0.4;18.7;25.4
97413524;2011-04-27;0.4;19.1;25
97413524;2011-04-28;0;18.1;24.4
97413524;2011-04-29;0;17.4;24.2
97413524;2011-04-30;0;17.1;24.5
97413524;2011-05-01;0;16.6;25.3
97413524;2011-05-02;0;17.3;24.7
97413524;2011-05-03;2.4;17.2;24.7
97413524;2011-05-04;1.8;17.2;24.3
97413524;2011-05-05;0.4;17.8;23.9
97413524;2011-05-06;27.8;17.6;23.6
97413524;2011-05-07;11;16.6;26
97413524;2011-05-08;0;16.3;24
97413524;2011-05-09;0.8;15.3;23.5
97413524;2011-05-10;5.2;17.4;24
97413524;2011-05-11;0.2;18.7;23.9
97413524;2011-05-12;0;18.3;24.9
97413524;2011-05-13;0;16.3;23.8
97413524;2011-05-14;0;17.8;24.3
97413524;2011-05-15;0;16.5;24.7
97413524;2011-05-16;0;15.8;24
97413524;2011-05-17;0;15.4;23.7
97413524;2011-05-18;14.6;16;22.6
97413524;2011-05-19;0;15.6;23
97413524;2011-05-20;0;15.7;23.7
97413524;2011-05-21;0;16.3;23.5
97413524;2011-05-22;0;16.8;23.6
97413524;2011-05-23;0;16.3;24
