Numero;Date;Rain;Tmin;Tmax
97411111;2011-01-01;0;24.1;28.9
97411111;2011-01-02;0;24.1;28.7
97411111;2011-01-03;6.4;24.4;28.8
97411111;2011-01-04;0.2;23.4;28.8
97411111;2011-01-05;5.8;23.1;29.1
97411111;2011-01-06;0;23;29.7
97411111;2011-01-07;0;23.3;29.2
97411111;2011-01-08;0;23.5;29.3
97411111;2011-01-09;0;23.8;29.4
97411111;2011-01-10;0;24.5;29.5
97411111;2011-01-11;0;25;29.8
97411111;2011-01-12;3.2;24.8;31.4
97411111;2011-01-13;0;23.4;29.4
97411111;2011-01-14;0;25.8;31
97411111;2011-01-15;0;25.7;30.8
97411111;2011-01-16;0.6;24.8;29.1
97411111;2011-01-17;0.2;24.7;29.1
97411111;2011-01-18;0;25;30.5
97411111;2011-01-19;0;24.5;30.5
97411111;2011-01-20;0.4;25.4;30.3
97411111;2011-01-21;3;24.4;28.9
97411111;2011-01-22;0;24.2;29.1
97411111;2011-01-23;0;24.2;29.5
97411111;2011-01-24;0.6;24.6;28.9
97411111;2011-01-25;0;23.2;28.8
97411111;2011-01-26;0;24.6;32.8
97411111;2011-01-27;64;25.9;30.1
97411111;2011-01-28;65.2;24.4;29.2
97411111;2011-01-29;270.6;23.2;26.4
97411111;2011-01-30;150.6;23.7;26.2
97411111;2011-01-31;5.2;24.7;29.7
97411111;2011-02-01;2;25.8;29.4
97411111;2011-02-02;0;24.3;30.3
97411111;2011-02-03;0;25.6;29.6
97411111;2011-02-04;0;25.6;30.2
97411111;2011-02-05;0;25.5;29.8
97411111;2011-02-06;0;25.8;30.3
97411111;2011-02-07;0.2;25.2;31.2
97411111;2011-02-08;0.2;25.1;28.9
97411111;2011-02-09;11.6;25;30.4
97411111;2011-02-10;0.4;23.7;30.5
97411111;2011-02-11;13.4;25.4;30.4
97411111;2011-02-12;8.2;23.9;30.6
97411111;2011-02-13;0;24.4;30.9
97411111;2011-02-14;41.6;24.1;29.6
97411111;2011-02-15;0;26.1;29.3
97411111;2011-02-16;4.4;25.5;29.9
97411111;2011-02-17;3.8;24.5;29.3
97411111;2011-02-18;21.2;25.3;30
97411111;2011-02-19;15.6;25.3;31.1
97411111;2011-02-20;1.8;26.3;31
97411111;2011-02-21;0;26.3;31.3
97411111;2011-02-22;0;25.9;31.4
97411111;2011-02-23;0.8;25.7;32.5
97411111;2011-02-24;0;25.7;31.2
97411111;2011-02-25;0;25.6;30.4
97411111;2011-02-26;4.4;26.2;32.1
