TN_moy_42;RR_log_cumul_35;Aedes_moy
15;0;0
15.1;0;0
15.2;0;0
15.3;0;0
15.4;0;0
15.5;0;0
15.6;0;0
15.7;0;0
15.8;0;0
15.9;0;0
16;0;0
16.1;0;0
16.2;0;0
16.3;0;0
16.4;0;0
16.5;0;0
16.6;0;0
16.7;0;0
16.8;0;0
16.9;0;0
17;0;0
17.1;0;0
17.2;0;0
17.3;0;0
17.4;0;0
17.5;0;0
17.6;0;0
17.7;0;0
17.8;0;0
17.9;0;0
18;0;0
18.1;0;0
18.2;0;0
18.3;0;0
18.4;0;0
18.5;0;0
18.6;0;2.815423019
18.7;0;2.164629259
18.8;0;1.560450818
18.9;0;1.01135703
19;0;0.525695618
19.1;0;0.111526618
19.2;0;0
19.3;0;0
19.4;0;0
19.5;0;0
19.6;0;0
19.7;0;0
19.8;0;0
19.9;0;0.104264342
20;0;0.562510663
20.1;0;1.120024878
20.2;0;1.771633267
20.3;0;2.510602436
20.4;0;3.328734319
20.5;0;4.216500743
20.6;0;5.163214672
20.7;0;6.157233871
20.8;0;7.18619154
20.9;0;8.237247422
21;0;9.297352174
21.1;0;10.35351725
21.2;0;11.39308241
21.3;0;12.40397309
21.4;0;13.37494022
21.5;0;14.29577582
21.6;0;15.15749868
21.7;0;15.95250535
21.8;0;16.67468311
21.9;0;17.31948276
22;0;17.8839506
22.1;0;18.36672
22.2;0;18.76796453
22.3;0;19.08931548
22.4;0;19.33374768
22.5;0;19.50543833
22.6;0;19.60960403
22.7;0;19.65232169
22.8;0;19.64033906
22.9;0;19.58088069
23;0;19.4814548
23.1;0;19.34966643
23.2;0;19.19304122
23.3;0;19.01886423
23.4;0;18.83403681
23.5;0;18.6449543
23.6;0;18.45740631
23.7;0;18.27650046
23.8;0;18.1066099
23.9;0;17.95134414
24;0;17.81354191
24.1;0;17.69528451
24.2;0;17.59792732
24.3;0;17.52214701
24.4;0;17.52214701
24.5;0;17.52214701
24.6;0;17.52214701
24.7;0;17.52214701
24.8;0;17.52214701
24.9;0;17.52214701
25;0;17.52214701
25.1;0;17.52214701
25.2;0;17.52214701
25.3;0;17.52214701
25.4;0;17.52214701
25.5;0;17.52214701
25.6;0;17.52214701
25.7;0;17.52214701
25.8;0;17.52214701
25.9;0;17.52214701
26;0;17.52214701
26.1;0;17.52214701
26.2;0;17.52214701
26.3;0;17.52214701
26.4;0;17.52214701
26.5;0;17.52214701
26.6;0;17.52214701
26.7;0;17.52214701
26.8;0;17.52214701
26.9;0;17.52214701
27;0;17.52214701
27.1;0;17.52214701
27.2;0;17.52214701
27.3;0;17.52214701
27.4;0;17.52214701
27.5;0;17.52214701
27.6;0;17.52214701
27.7;0;17.52214701
27.8;0;17.52214701
27.9;0;17.52214701
28;0;17.52214701
15;0.1;0
15.1;0.1;0
15.2;0.1;0
15.3;0.1;0
15.4;0.1;0
15.5;0.1;0
15.6;0.1;0
15.7;0.1;0
15.8;0.1;0
15.9;0.1;0
16;0.1;0
16.1;0.1;0
16.2;0.1;0
16.3;0.1;0
16.4;0.1;0
16.5;0.1;0
16.6;0.1;0
16.7;0.1;0
16.8;0.1;0
16.9;0.1;0
17;0.1;0
17.1;0.1;0
17.2;0.1;0
17.3;0.1;0
17.4;0.1;0
17.5;0.1;0
17.6;0.1;0
17.7;0.1;0
17.8;0.1;0
17.9;0.1;0
18;0.1;0
18.1;0.1;0
18.2;0.1;0
18.3;0.1;0
18.4;0.1;0
18.5;0.1;0
18.6;0.1;2.815423019
18.7;0.1;2.164629259
18.8;0.1;1.560450818
18.9;0.1;1.01135703
19;0.1;0.525695618
19.1;0.1;0.111526618
19.2;0.1;0
19.3;0.1;0
19.4;0.1;0
19.5;0.1;0
19.6;0.1;0
19.7;0.1;0
19.8;0.1;0
19.9;0.1;0.104264342
20;0.1;0.562510663
20.1;0.1;1.120024878
20.2;0.1;1.771633267
20.3;0.1;2.510602436
20.4;0.1;3.328734319
20.5;0.1;4.216500743
20.6;0.1;5.163214672
20.7;0.1;6.157233871
20.8;0.1;7.18619154
20.9;0.1;8.237247422
21;0.1;9.297352174
21.1;0.1;10.35351725
21.2;0.1;11.39308241
21.3;0.1;12.40397309
21.4;0.1;13.37494022
21.5;0.1;14.29577582
21.6;0.1;15.15749868
21.7;0.1;15.95250535
21.8;0.1;16.67468311
21.9;0.1;17.31948276
22;0.1;17.8839506
22.1;0.1;18.36672
22.2;0.1;18.76796453
22.3;0.1;19.08931548
22.4;0.1;19.33374768
22.5;0.1;19.50543833
22.6;0.1;19.60960403
22.7;0.1;19.65232169
22.8;0.1;19.64033906
22.9;0.1;19.58088069
23;0.1;19.4814548
23.1;0.1;19.34966643
23.2;0.1;19.19304122
23.3;0.1;19.01886423
23.4;0.1;18.83403681
23.5;0.1;18.6449543
23.6;0.1;18.45740631
23.7;0.1;18.27650046
23.8;0.1;18.1066099
23.9;0.1;17.95134414
24;0.1;17.81354191
24.1;0.1;17.69528451
24.2;0.1;17.59792732
24.3;0.1;17.52214701
24.4;0.1;17.52214701
24.5;0.1;17.52214701
24.6;0.1;17.52214701
24.7;0.1;17.52214701
24.8;0.1;17.52214701
24.9;0.1;17.52214701
25;0.1;17.52214701
25.1;0.1;17.52214701
25.2;0.1;17.52214701
25.3;0.1;17.52214701
25.4;0.1;17.52214701
25.5;0.1;17.52214701
25.6;0.1;17.52214701
25.7;0.1;17.52214701
25.8;0.1;17.52214701
25.9;0.1;17.52214701
26;0.1;17.52214701
26.1;0.1;17.52214701
26.2;0.1;17.52214701
26.3;0.1;17.52214701
26.4;0.1;17.52214701
26.5;0.1;17.52214701
26.6;0.1;17.52214701
26.7;0.1;17.52214701
26.8;0.1;17.52214701
26.9;0.1;17.52214701
27;0.1;17.52214701
27.1;0.1;17.52214701
27.2;0.1;17.52214701
27.3;0.1;17.52214701
27.4;0.1;17.52214701
27.5;0.1;17.52214701
27.6;0.1;17.52214701
27.7;0.1;17.52214701
27.8;0.1;17.52214701
27.9;0.1;17.52214701
28;0.1;17.52214701
15;0.2;0
15.1;0.2;0
15.2;0.2;0
15.3;0.2;0
15.4;0.2;0
15.5;0.2;0
15.6;0.2;0
15.7;0.2;0
15.8;0.2;0
15.9;0.2;0
16;0.2;0
16.1;0.2;0
16.2;0.2;0
16.3;0.2;0
16.4;0.2;0
16.5;0.2;0
16.6;0.2;0
16.7;0.2;0
16.8;0.2;0
16.9;0.2;0
17;0.2;0
17.1;0.2;0
17.2;0.2;0
17.3;0.2;0
17.4;0.2;0
17.5;0.2;0
17.6;0.2;0
17.7;0.2;0
17.8;0.2;0
17.9;0.2;0
18;0.2;0
18.1;0.2;0
18.2;0.2;0
18.3;0.2;0
18.4;0.2;0
18.5;0.2;0
18.6;0.2;2.815423019
18.7;0.2;2.164629259
18.8;0.2;1.560450818
18.9;0.2;1.01135703
19;0.2;0.525695618
